사용월,호선명,4시-5시_승차,5시-6시_승차,6시-7시_승차,7시-8시_승차,8시-9시_승차,9시-10시_승차,10시-11시_승차,11시-12시_승차,12시-13시_승차,13시-14시_승차,14시-15시_승차,15시-16시_승차,16시-17시_승차,17시-18시_승차,18시-19시_승차,19시-20시_승차,20시-21시_승차,21시-22시_승차,22시-23시_승차,23시-24시_승차,24시-익일1시_승차,익일1시-2시_승차
202409,서해선,14,320,628,1628,2708,3259,3279,3290,3501,4894,5808,6051,6184,8294,9834,6631,5697,6267,4965,1778,52,4
202408,서해선,10,364,677,1559,2594,3176,3158,3477,3422,5154,6519,7047,6910,9109,10897,7070,6257,6895,5132,1806,57,0
202407,서해선,12,390,631,1772,2520,2969,3181,3513,3580,5363,6664,7272,7312,9388,11253,7369,6775,7146,5310,2061,64,0
202406,서해선,17,402,773,1730,2606,3003,3262,3574,3662,5513,6558,7470,7077,9122,10774,7544,6593,7523,5560,1820,48,0
202405,서해선,26,614,844,1988,3115,3118,3303,3664,3648,5674,6824,7217,7178,9233,11036,7808,6950,7285,5626,2080,68,0
202404,서해선,15,425,699,1911,3159,3071,3322,3788,3616,5571,6576,6893,6802,8948,11000,7683,6396,6976,5382,2007,57,0
202403,서해선,18,281,608,1693,3104,2869,3135,3746,3777,5334,7134,7956,7674,9050,11295,7907,6698,7441,6032,2153,55,0
202402,서해선,22,293,511,1238,2230,2530,2590,3683,3577,5094,6840,7731,7325,8491,10812,7307,6408,6779,6019,2036,76,2
202401,서해선,21,321,525,1317,2100,2656,2871,3801,3504,5162,7280,7919,7554,9262,11474,7417,6696,7306,6493,2218,41,0
202409,공항철도,12,1960,2926,6637,12313,17007,17748,17251,16062,18627,19098,18579,15860,21662,25306,17410,14239,18712,15764,5862,208,0
202408,공항철도,10,2033,3195,7188,12398,17637,18089,18841,15675,19553,20948,20639,16434,22634,26677,18772,15167,19375,15856,5679,159,5
202407,공항철도,19,2046,3460,7809,12486,16542,18496,18546,16928,19942,21046,20055,17137,23576,28124,19286,15691,19690,16238,7254,197,2
202406,공항철도,17,2080,3418,7956,12866,17019,18488,19292,17073,21350,21674,21642,17299,23085,26474,19809,16550,20789,16984,6359,234,3
202405,공항철도,17,2158,3606,8512,13921,16373,19011,19301,17270,21786,22535,21223,17115,23003,27336,20199,17075,20324,17151,6789,255,5
202404,공항철도,24,2070,3571,8609,13374,16177,17469,19409,17317,20736,21429,20999,16279,22088,26646,19318,15869,19727,16974,7246,248,1
202403,공항철도,24,1974,3362,7048,13534,16186,17267,19459,17406,20347,24271,23175,18255,21312,27654,19024,16006,19898,18207,7001,251,0
202402,공항철도,15,1576,2910,6049,11367,14776,15125,19961,17389,18653,22858,21929,17593,21106,27435,19085,16082,18439,17901,7174,177,3
202401,공항철도,16,1827,3599,6853,12224,15808,17018,21851,16831,19831,24699,23131,18403,22139,29949,19227,16676,19417,18808,7061,201,2
202409,5호선,24,841,4413,17018,22253,12041,12166,16489,19227,21753,24862,27315,24414,29926,35863,22451,18454,17864,15447,6298,339,4
202408,5호선,9,875,4932,17711,22253,12360,12204,16689,19129,21938,26389,29529,27895,33760,38142,23693,20149,18630,15819,6431,397,0
202407,5호선,6,813,5038,19549,23631,11712,11743,14870,16926,19870,21984,25146,24185,30407,35321,22442,18556,17471,14342,6448,401,0
202406,5호선,9,746,4443,16345,20820,11178,11011,13234,13793,16839,19428,21728,20281,25555,28763,19780,16113,15685,13196,5104,304,0
202405,5호선,6,813,4599,17634,22519,11211,11242,12781,13627,16385,18652,20326,19865,25780,28903,19959,16677,15024,12990,5177,307,1
202404,5호선,4,973,4411,17589,22611,10763,10710,12659,13258,15518,17619,20217,18644,24742,28826,18531,15589,14437,12667,5144,296,0
202403,5호선,3,839,3953,15825,21613,10764,10274,12598,13711,15645,18906,21445,20865,24895,29321,20104,16255,14443,13644,5240,296,0
202402,5호선,6,787,3357,13526,18677,9355,9307,12507,13202,15060,18423,20677,20266,24074,27778,18611,15654,13706,12367,5077,271,2
202401,5호선,2,991,3777,15581,20558,10249,9547,12723,12503,15151,19411,20977,20801,24882,30124,19318,15618,14345,13464,4804,299,0
202409,9호선,6,650,2597,9876,10265,6904,7477,8088,8939,10559,12040,13553,12755,15673,17054,11600,10876,10368,8793,2664,127,1
202408,9호선,8,685,3071,10247,11141,7456,8005,9368,9489,11963,14175,16440,15510,18653,19609,13732,12701,12144,10148,3390,114,0
202407,9호선,9,665,3442,11749,11786,7569,8279,9840,10218,12623,14722,17140,15906,19616,21150,14942,13434,12672,10040,4056,103,1
202406,9호선,8,820,3287,10391,11448,8087,8496,10918,11076,13862,15461,18396,15822,19098,20766,15639,13405,13336,10382,3479,137,0
202405,9호선,6,747,3445,11810,12418,8069,9029,11077,11222,13844,15828,18061,15355,19181,21276,16355,14292,12971,10589,3946,143,5
202404,9호선,14,774,3315,12443,12459,8014,8488,10390,11182,13126,15278,16875,14261,17523,20160,14901,12832,12258,10490,3667,95,3
202403,9호선,18,751,3136,11453,12466,8173,8466,11321,11865,13654,16379,19590,16420,18852,21691,16679,14370,12394,11178,4160,134,1
202402,9호선,17,704,2648,10069,10737,6940,7343,10992,11100,12761,15961,18629,16063,17457,20217,16125,13321,11283,10576,4080,151,2
202401,9호선,1,819,3008,10827,11249,7242,7598,10919,10441,12417,16560,18654,16110,18028,21158,16233,13133,11536,11288,3707,116,0
