사용월,호선명,4시-5시_하차,5시-6시_하차,6시-7시_하차,7시-8시_하차,8시-9시_하차,9시-10시_하차,10시-11시_하차,11시-12시_하차,12시-13시_하차,13시-14시_하차,14시-15시_하차,15시-16시_하차,16시-17시_하차,17시-18시_하차,18시-19시_하차,19시-20시_하차,20시-21시_하차,21시-22시_하차,22시-23시_하차,23시-24시_하차,24시-익일1시_하차,익일1시-익일2시_하차
202409,공항철도,0,2293,11342,19533,16967,10184,9366,10164,11126,11109,9728,9073,10199,11942,10195,5442,2729,1481,1370,888,787,41
202408,공항철도,0,2197,11866,20688,18332,10797,10032,11116,12300,11650,9855,9065,10596,12405,11013,5698,2923,1742,1533,931,836,62
202407,공항철도,1,2321,12381,23133,19573,11536,10079,10578,12105,11400,9967,9002,10199,11939,10327,5828,2911,1672,1452,949,762,56
202406,공항철도,2,2456,11831,20024,17156,10775,9878,10664,11474,11225,9790,9006,10047,11714,10029,5671,2881,1620,1536,1055,862,77
202405,공항철도,0,2242,12155,20715,17744,10738,9784,10478,11653,11026,8970,9043,10005,11935,10566,6018,2887,1653,1582,1042,802,51
202404,공항철도,1,2263,11680,21203,18417,10294,9186,10247,10999,10702,8931,8905,9512,11092,10024,5710,2547,1605,1458,1082,715,52
202403,공항철도,1,2269,12297,20164,17330,10542,10325,10604,11655,11848,10294,9228,10185,12590,9895,6325,2624,1537,1499,1101,897,52
202402,공항철도,6,1847,10689,17824,15860,9372,10058,9952,10796,11820,9567,8980,9976,12469,9627,6029,2554,1464,1297,924,643,46
202401,공항철도,0,2132,11749,19383,17809,10240,10567,10633,11363,12103,10070,9274,10136,12521,9877,6290,2568,1574,1365,994,723,47
202409,5호선,1,3297,9687,17027,21941,13196,14762,16417,17032,17201,16426,15037,15897,16612,15475,8432,4389,2679,2002,1153,512,6
202408,5호선,0,3126,10082,17848,22880,13946,16520,19379,19455,20018,18869,17200,16975,17687,17077,9409,5001,2869,2147,1187,560,0
202407,5호선,1,3190,10994,18923,24514,14291,15509,17912,18286,18732,17387,16297,16508,17792,17437,9650,4758,3096,2210,1233,617,4
202406,5호선,2,3540,10051,16547,22337,13628,14971,16877,16735,17490,16523,15369,15471,16328,15318,8925,4490,3055,2146,1234,598,0
202405,5호선,0,3554,10520,17179,23156,13990,14756,16784,16114,17196,15969,15628,16074,16599,15909,9387,4828,3064,2228,1235,680,6
202404,5호선,1,3775,10449,17451,23335,13242,14354,16159,15446,16125,15150,14539,14787,15989,15553,9050,4571,3083,2039,1222,603,2
202403,5호선,0,3538,10348,16230,22368,13641,14995,16875,16712,18003,17010,15974,16426,17115,15462,9642,4567,2926,2132,1240,565,1
202402,5호선,1,3079,9145,14212,19817,12595,14061,15735,16281,17259,16479,15169,15091,16825,14998,9190,3996,2613,1827,1088,483,12
202401,5호선,0,3733,10425,16086,21493,13629,15004,16597,16450,17793,16692,15394,15555,16834,15249,9274,3943,2476,1703,1076,550,1
202409,9호선,0,2640,13219,16131,19471,17290,18213,21247,22517,22692,22084,19889,23765,26854,26260,13990,6017,3664,2836,2085,1438,134
202408,9호선,0,2519,13483,16453,20169,18395,20375,23320,24720,24862,23728,21685,24328,28002,27430,15092,6560,3981,3040,2113,1605,145
202407,9호선,0,2715,13609,17625,20814,18533,20116,22603,24632,24178,23404,21356,24478,27805,27887,15957,6647,4196,2971,2052,1363,155
202406,9호선,1,2591,13472,16678,19475,18351,20268,22612,23365,23191,23115,20866,23837,25999,25602,14583,6705,3949,3238,2183,1561,144
202405,9호선,5,2933,14539,17979,19992,17779,19061,21761,22236,22506,21476,20483,23351,27170,26682,15320,6748,4291,3460,2189,1562,186
202404,9호선,0,2730,13441,17099,19330,16747,18133,20816,21194,21010,20668,19294,22150,26164,25696,14811,6451,3896,3040,2047,1303,164
202403,9호선,1,2482,14803,16759,19424,18048,20782,22422,23755,23866,23866,22145,24705,28959,26647,16775,6525,3885,3129,2190,1496,132
202402,9호선,1,2159,12974,14896,17518,16133,20228,21009,22364,24143,23406,21322,23830,28846,25351,15760,6011,3412,2874,1717,1191,114
202401,9호선,0,2377,14294,16144,19594,17207,21951,22373,22556,25034,23550,21251,23725,28444,25737,15457,5865,3434,2834,1818,1226,150
202409,서해선,5,2100,6939,9241,11188,7131,7498,8523,8610,8341,7115,6436,7087,8071,6960,3727,1806,1126,741,892,322,1
202408,서해선,7,2049,7163,9380,11124,7519,8296,9947,9440,9148,7933,6608,6990,8002,7485,3921,1906,1161,739,988,322,0
202407,서해선,10,2146,7607,9590,11809,7703,7789,9519,9284,8929,7562,6592,6990,8071,7298,4231,1967,1164,802,860,283,0
202406,서해선,0,2161,7192,8790,10910,7551,7486,8896,8869,8030,7284,6420,6824,7459,7064,3810,1998,1171,774,950,379,0
202405,서해선,3,2298,7627,9227,11291,7572,7414,8790,8779,8312,7158,6384,7007,8030,7365,4365,1947,1201,822,951,372,0
202404,서해선,3,2271,7875,9525,10860,7182,7439,8140,8568,7774,6879,6280,6456,7732,7141,4128,1802,1094,793,935,336,0
202403,서해선,2,2354,8076,8762,10648,7287,7934,8797,9001,8834,7881,6667,6849,7960,7157,4147,1594,1011,828,1009,334,0
202402,서해선,0,1951,6891,7576,9624,6528,7489,8359,8776,8729,7709,6299,6465,7816,6639,4139,1507,940,690,739,306,2
202401,서해선,3,2389,7843,8414,10599,7295,8538,9124,9362,9153,7648,6275,6647,7840,6600,4188,1484,863,697,793,258,0
