"","month","time_04_board","time_04_exit","time_05_board","time_05_exit","time_06_board","time_06_exit","time_07_board","time_07_exit","time_08_board","time_08_exit","time_09_board","time_09_exit","time_10_board","time_10_exit","time_11_board","time_11_exit","time_12_board","time_12_exit","time_13_board","time_13_exit","time_14_board","time_14_exit","time_15_board","time_15_exit","time_16_board","time_16_exit","time_17_board","time_17_exit","time_18_board","time_18_exit","time_19_board","time_19_exit","time_20_board","time_20_exit","time_21_board","time_21_exit","time_22_board","time_22_exit","time_23_board","time_23_exit"
"1",202301,25,1,3524,6711,7720,33432,17416,51726,31005,53653,27864,37810,31569,47594,41319,51116,40078,52207,49830,52071,56576,48289,55812,45460,51265,51880,65471,56327,79089,54648,51227,34377,43799,14558,42874,8630,46980,6225,14293,4219
"2",202302,16,1,3425,6078,7383,32052,16895,49357,32483,52716,29123,35660,33675,46141,41176,50384,39756,48733,48498,48526,54815,48306,54280,43605,48044,50786,62759,55251,75116,53573,47950,33911,41058,13418,42469,8137,43164,6571,12758,4386
"3",202303,22,2,3844,7024,8866,37154,19747,57835,35167,59454,32650,38565,35137,47489,43496,50901,42863,50205,52179,50135,55006,48892,57164,46129,50032,53466,67176,59344,81235,57281,51176,35484,44152,14733,45997,8788,47496,6677,12270,4523
"4",202304,22,4,3707,6981,8628,38009,20272,58513,33453,58257,35275,42221,38438,45285,41853,46743,42167,48393,49308,51675,52178,48525,58213,46738,47757,53894,65786,57593,74377,55017,55390,31850,43524,14347,49448,8957,40555,6858,19175,4573
"5",202305,24,2,3967,8154,9086,42586,21123,59182,35258,59930,38539,45172,40142,47431,43321,50114,45496,52865,53244,56446,55048,51359,60332,48328,53609,55263,71555,60581,78442,57328,59514,32526,51516,15468,50476,9092,41699,7150,17763,4794
"6",202306,25,3,3626,7574,9916,40900,26252,56347,38279,59225,35796,46747,40864,49168,44813,50129,44923,54086,52614,55640,55026,51504,62654,50091,56356,55588,69637,61201,77295,59075,58500,32331,49463,14561,50069,9120,41571,7215,20758,4952
"7",202307,84,16,3467,9003,9800,42997,26736,60661,38160,64438,37497,47891,40377,54993,46267,60686,47672,61860,54933,62839,63237,60191,70761,56137,64740,59773,78336,65464,86527,60451,64034,34575,55452,16077,57162,9423,45059,7070,19591,5451
"8",202308,80,2,3566,8993,9966,40933,29548,62805,41106,66527,37677,48660,41188,54953,47204,59477,45818,63033,54663,62722,63204,59946,71881,54824,64122,57965,78183,63584,87757,58090,61332,31758,52745,14855,55929,8998,48282,6820,16818,4913
"9",202309,64,9,3588,9674,9746,41490,31627,60969,43108,65797,35972,47376,39994,49515,46609,52297,42599,55996,50188,56584,56161,55297,65529,51674,57042,56500,71394,63740,82892,56930,58502,30147,48752,14142,51262,8439,44074,6501,14255,4781
"10",202310,79,8,3894,10015,10279,44874,32999,62445,45721,68516,36554,49462,41242,53473,46671,53985,47653,57718,54154,57441,62493,56159,71126,53477,64930,57664,74130,65927,86239,57859,64861,32518,51980,15286,54353,9302,45335,6687,18153,5410
"11",202311,58,2,3822,9933,10800,45422,34511,62632,48528,67574,32221,50197,38547,54458,47867,54465,43610,56669,51682,58159,64594,57357,68684,49439,60340,56698,72037,69006,91008,58449,62012,36828,53008,14335,52076,9216,47043,6838,21430,4849
"12",202312,67,5,4017,10643,10714,46359,33145,58677,47332,65866,34668,51403,36705,58004,48342,61750,47132,63928,56362,66369,70723,62969,74035,57299,69202,60803,77375,72572,90925,59974,62470,37349,56537,15541,59477,10154,49866,7741,20805,5939
